Date,Region,Category,Revenue,Cost,Profit
2025-01-04,South,Office Supplies,9859,6918.64,2940.36
2025-01-04,East,Electronics,13684,8008.3,5675.7
2025-01-04,East,Furniture,7062,4175.88,2886.12
2025-01-04,East,Office Supplies,13006,8529.99,4476.01
2025-01-04,West,Electronics,18440,11058.08,7381.92
2025-01-04,West,Furniture,14687,8129.55,6557.45
2025-01-04,West,Office Supplies,10618,7716.25,2901.75
2025-01-05,North,Electronics,18986,14192.87,4793.13
2025-01-05,North,Furniture,17666,10043.32,7622.68
2025-01-05,North,Office Supplies,15470,11026.54,4443.46
2025-01-05,South,Electronics,8099,6202.02,1896.98
2025-01-05,South,Furniture,19151,12684.91,6466.09
2025-01-05,South,Office Supplies,8104,4585.97,3518.03
2025-01-05,East,Electronics,7454,5346.09,2107.91
2025-01-05,East,Furniture,13996,10250.69,3745.31
2025-01-05,East,Office Supplies,19183,11868.15,7314.85
2025-01-05,West,Electronics,14762,9861.81,4900.19
2025-01-05,West,Furniture,19948,15817.33,4130.67
2025-01-05,West,Office Supplies,15882,11755.8,4126.2
2025-01-06,North,Electronics,12385,7542.42,4842.58
2025-01-06,North,Furniture,17685,11909.94,5775.06
2025-01-06,North,Office Supplies,9488,6904.09,2583.91
2025-01-06,South,Electronics,10977,6107.11,4869.89
2025-01-06,South,Furniture,6484,3893.19,2590.81
2025-01-06,South,Office Supplies,5863,4157.47,1705.53
2025-01-06,East,Electronics,13755,9502.21,4252.79
2025-01-06,East,Furniture,11019,8560.57,2458.43
2025-01-06,East,Office Supplies,12574,8815.69,3758.31
2025-01-06,West,Electronics,6678,4934.29,1743.71
2025-01-06,West,Furniture,6059,4760.64,1298.36
2025-01-06,West,Office Supplies,14914,10793.21,4120.79
2025-01-07,North,Electronics,10915,8540.16,2374.84
2025-01-07,North,Furniture,19892,12410.79,7481.21
2025-01-07,North,Office Supplies,16252,12479.34,3772.66
2025-01-07,South,Electronics,18339,11087.94,7251.06
2025-01-07,South,Furniture,14555,11253.05,3301.95
2025-01-07,South,Office Supplies,10450,6594.85,3855.15
2025-01-07,East,Electronics,15230,11788.37,3441.63
2025-01-07,East,Furniture,16494,12811.01,3682.99
2025-01-07,East,Office Supplies,18696,11348.17,7347.83
2025-01-07,West,Electronics,17221,9473.79,7747.21
2025-01-07,West,Furniture,18260,13972.24,4287.76
2025-01-07,West,Office Supplies,12526,7404.92,5121.08
2025-01-08,North,Electronics,10530,6890.33,3639.67
2025-01-08,North,Furniture,8748,6325.76,2422.24
2025-01-08,North,Office Supplies,18545,11765.02,6779.98
2025-01-08,South,Electronics,6998,4143.33,2854.67
2025-01-08,South,Furniture,16935,11510.68,5424.32
2025-01-08,South,Office Supplies,8304,5405.56,2898.44
2025-01-08,East,Electronics,6853,5434.06,1418.94
2025-01-08,East,Furniture,17851,10919.8,6931.2
2025-01-08,East,Office Supplies,16649,12121.6,4527.4
2025-01-08,West,Electronics,6636,4122.35,2513.65
2025-01-08,West,Furniture,16344,10079.27,6264.73
2025-01-08,West,Office Supplies,17289,11681.65,5607.35
2025-01-09,North,Electronics,18877,10538.32,8338.68
2025-01-09,North,Furniture,10855,8435.06,2419.94
2025-01-09,North,Office Supplies,16666,12002.46,4663.54
2025-01-09,South,Electronics,10172,6839.28,3332.72
2025-01-09,South,Furniture,10791,7426.62,3364.38
2025-01-09,South,Office Supplies,19582,14060.54,5521.46
2025-01-09,East,Electronics,5202,3341.84,1860.16
2025-01-09,East,Furniture,17688,12948.57,4739.43
2025-01-09,East,Office Supplies,7327,4891.32,2435.68
2025-01-09,West,Electronics,12777,9051.0,3726.0
2025-01-09,West,Furniture,6930,5225.97,1704.03
2025-01-09,West,Office Supplies,11287,8564.86,2722.14
2025-01-10,North,Electronics,14339,9708.22,4630.78
2025-01-10,North,Furniture,7511,4207.62,3303.38
2025-01-10,North,Office Supplies,5659,3573.6,2085.4
2025-01-10,South,Electronics,19243,10663.45,8579.55
2025-01-10,South,Furniture,6986,5256.09,1729.91
2025-01-10,South,Office Supplies,16411,11673.03,4737.97
2025-01-10,East,Electronics,6843,5372.65,1470.35
2025-01-10,East,Furniture,6959,4500.27,2458.73
2025-01-10,East,Office Supplies,7385,5608.37,1776.63
2025-01-10,West,Electronics,6802,4321.08,2480.92
2025-01-10,West,Furniture,11616,6995.94,4620.06
2025-01-10,West,Office Supplies,10534,8104.17,2429.83
2025-01-11,North,Electronics,18922,11488.26,7433.74
2025-01-11,North,Furniture,11287,8513.85,2773.15
2025-01-11,North,Office Supplies,14208,9649.49,4558.51
2025-01-11,South,Electronics,18168,11090.89,7077.11
2025-01-11,South,Furniture,10423,8248.29,2174.71
2025-01-11,South,Office Supplies,9548,7400.7,2147.3
2025-01-11,East,Electronics,17282,10320.41,6961.59
2025-01-11,East,Furniture,12400,7902.55,4497.45
2025-01-11,East,Office Supplies,7255,5617.38,1637.62
2025-01-11,West,Electronics,11295,7354.48,3940.52
2025-01-11,West,Furniture,14888,10578.04,4309.96
2025-01-11,West,Office Supplies,17874,14011.58,3862.42
2025-01-12,North,Electronics,10539,8163.92,2375.08
2025-01-12,North,Furniture,17115,11897.86,5217.14
2025-01-12,North,Office Supplies,16375,9421.65,6953.35
2025-01-12,South,Electronics,5098,4044.83,1053.17
2025-01-12,South,Furniture,7961,4698.6,3262.4
2025-01-12,South,Office Supplies,9433,6333.35,3099.65
2025-01-12,East,Electronics,16426,11711.58,4714.42
2025-01-12,East,Furniture,18992,11280.89,7711.11
2025-01-12,East,Office Supplies,10699,6519.03,4179.97
2025-01-12,West,Electronics,14492,8618.47,5873.53
2025-01-12,West,Furniture,14719,10485.94,4233.06
2025-01-12,West,Office Supplies,18446,13469.91,4976.09
2025-01-13,North,Electronics,9735,6737.37,2997.63
2025-01-13,North,Furniture,9555,6470.68,3084.32
2025-01-13,North,Office Supplies,17757,10943.65,6813.35
2025-01-13,South,Electronics,11893,8294.98,3598.02
2025-01-13,South,Furniture,19565,12683.49,6881.51
2025-01-13,South,Office Supplies,15677,12173.58,3503.42
2025-01-13,East,Electronics,19362,14496.38,4865.62
2025-01-13,East,Furniture,9893,7036.65,2856.35
2025-01-13,East,Office Supplies,12022,8092.36,3929.64
2025-01-13,West,Electronics,17740,10777.87,6962.13
2025-01-13,West,Furniture,14007,8687.04,5319.96
2025-01-13,West,Office Supplies,9642,7155.7,2486.3
2025-01-14,North,Electronics,12679,7534.85,5144.15
2025-01-14,North,Furniture,14435,9635.16,4799.84
2025-01-14,North,Office Supplies,6069,4726.03,1342.97
2025-01-14,South,Electronics,19434,14321.49,5112.51
2025-01-14,South,Furniture,6060,4739.4,1320.6
2025-01-14,South,Office Supplies,19832,13648.21,6183.79
2025-01-14,East,Electronics,5606,4433.81,1172.19
2025-01-14,East,Furniture,10088,5738.42,4349.58
2025-01-14,East,Office Supplies,15492,10012.08,5479.92
2025-01-14,West,Electronics,11102,6851.25,4250.75
2025-01-14,West,Furniture,8394,4972.38,3421.62
2025-01-14,West,Office Supplies,6816,4421.35,2394.65
2025-01-15,North,Electronics,11709,8477.4,3231.6
2025-01-15,North,Furniture,6895,3913.63,2981.37
2025-01-15,North,Office Supplies,17913,12606.31,5306.69
2025-01-15,South,Electronics,16093,10294.08,5798.92
2025-01-15,South,Furniture,12806,8702.73,4103.27
2025-01-15,South,Office Supplies,6409,4041.76,2367.24
2025-01-15,East,Electronics,16367,11853.86,4513.14
2025-01-15,East,Furniture,17533,11218.89,6314.11
2025-01-15,East,Office Supplies,10596,6613.26,3982.74
2025-01-15,West,Electronics,5537,4166.75,1370.25
2025-01-15,West,Furniture,18208,12798.01,5409.99
2025-01-15,West,Office Supplies,11971,8114.37,3856.63
2025-01-16,North,Electronics,12992,9185.0,3807.0
2025-01-16,North,Furniture,17307,12331.08,4975.92
2025-01-16,North,Office Supplies,11655,7566.38,4088.62
2025-01-16,South,Electronics,15893,12277.36,3615.64
2025-01-16,South,Furniture,11614,6467.89,5146.11
2025-01-16,South,Office Supplies,18121,11952.95,6168.05
2025-01-16,East,Electronics,15174,8482.05,6691.95
2025-01-16,East,Furniture,16928,9966.54,6961.46
2025-01-16,East,Office Supplies,16453,10227.77,6225.23
2025-01-16,West,Electronics,11457,8765.76,2691.24
2025-01-16,West,Furniture,19640,10985.38,8654.62
2025-01-16,West,Office Supplies,18125,11342.92,6782.08
2025-01-17,North,Electronics,7491,4731.79,2759.21
2025-01-17,North,Furniture,19599,14552.23,5046.77
2025-01-17,North,Office Supplies,8051,6370.86,1680.14
2025-01-17,South,Electronics,10222,5840.21,4381.79
2025-01-17,South,Furniture,5876,3517.34,2358.66
2025-01-17,South,Office Supplies,9142,6626.84,2515.16
2025-01-17,East,Electronics,12079,8836.06,3242.94
2025-01-17,East,Furniture,17556,13911.1,3644.9
2025-01-17,East,Office Supplies,18417,11616.32,6800.68
2025-01-17,West,Electronics,9752,6335.93,3416.07
2025-01-17,West,Furniture,19098,12599.77,6498.23
2025-01-17,West,Office Supplies,19262,11802.12,7459.88
2025-01-18,North,Electronics,13308,7588.46,5719.54
2025-01-18,North,Furniture,6150,4452.56,1697.44
2025-01-18,North,Office Supplies,14204,8018.85,6185.15
2025-01-18,South,Electronics,17921,10557.43,7363.57
2025-01-18,South,Furniture,16041,9784.16,6256.84
2025-01-18,South,Office Supplies,10237,7459.18,2777.82
2025-01-18,East,Electronics,17775,13929.44,3845.56
2025-01-18,East,Furniture,18184,14342.02,3841.98
2025-01-18,East,Office Supplies,9070,6478.5,2591.5
2025-01-18,West,Electronics,5580,3922.35,1657.65
2025-01-18,West,Furniture,15486,8702.03,6783.97
2025-01-18,West,Office Supplies,9249,5910.05,3338.95
2025-01-19,North,Electronics,18284,10605.47,7678.53
2025-01-19,North,Furniture,16548,9581.59,6966.41
2025-01-19,North,Office Supplies,10188,5843.22,4344.78
2025-01-19,South,Electronics,7141,5454.76,1686.24
2025-01-19,South,Furniture,16251,9650.37,6600.63
2025-01-19,South,Office Supplies,16151,9278.08,6872.92
2025-01-19,East,Electronics,7479,5622.18,1856.82
2025-01-19,East,Furniture,14827,8796.87,6030.13
2025-01-19,East,Office Supplies,14949,10650.32,4298.68
2025-01-19,West,Electronics,10881,7659.82,3221.18
2025-01-19,West,Furniture,7849,4828.89,3020.11
2025-01-19,West,Office Supplies,11905,9325.89,2579.11
2025-01-20,North,Electronics,14823,11326.59,3496.41
2025-01-20,North,Furniture,14540,10483.21,4056.79
2025-01-20,North,Office Supplies,16279,9240.65,7038.35
2025-01-20,South,Electronics,10878,8550.79,2327.21
2025-01-20,South,Furniture,14087,9989.1,4097.9
2025-01-20,South,Office Supplies,5851,4059.82,1791.18
2025-01-20,East,Electronics,11833,8204.31,3628.69
2025-01-20,East,Furniture,14760,9808.95,4951.05
2025-01-20,East,Office Supplies,7738,5843.43,1894.57
2025-01-20,West,Electronics,10387,6715.46,3671.54
2025-01-20,West,Furniture,10536,7510.81,3025.19
2025-01-20,West,Office Supplies,6066,3633.22,2432.78
2025-01-21,North,Electronics,15636,9438.63,6197.37
2025-01-21,North,Furniture,8373,4643.29,3729.71
2025-01-21,North,Office Supplies,15738,11088.42,4649.58
2025-01-21,South,Electronics,15966,9065.45,6900.55
2025-01-21,South,Furniture,13967,9027.56,4939.44
2025-01-21,South,Office Supplies,14817,9411.11,5405.89
2025-01-21,East,Electronics,13306,8255.89,5050.11
2025-01-21,East,Furniture,8267,5978.88,2288.12
2025-01-21,East,Office Supplies,10745,7599.25,3145.75
2025-01-21,West,Electronics,5412,3029.62,2382.38
2025-01-21,West,Furniture,5728,4300.98,1427.02
2025-01-21,West,Office Supplies,16000,10991.89,5008.11
2025-01-22,North,Electronics,10988,8105.34,2882.66
2025-01-22,North,Furniture,19527,13551.37,5975.63
2025-01-22,North,Office Supplies,6122,3998.61,2123.39
2025-01-22,South,Electronics,10073,6169.75,3903.25
2025-01-22,South,Furniture,7143,4537.24,2605.76
2025-01-22,South,Office Supplies,12357,8532.1,3824.9
2025-01-22,East,Electronics,17043,11201.49,5841.51
2025-01-22,East,Furniture,10644,7823.1,2820.9
2025-01-22,East,Office Supplies,7914,4556.73,3357.27
2025-01-22,West,Electronics,18584,12703.69,5880.31
2025-01-22,West,Furniture,13787,10431.44,3355.56
2025-01-22,West,Office Supplies,6365,3974.36,2390.64
2025-01-23,North,Electronics,12186,7888.0,4298.0
2025-01-23,North,Furniture,5395,4260.08,1134.92
2025-01-23,North,Office Supplies,13082,7493.65,5588.35
2025-01-23,South,Electronics,7502,5920.58,1581.42
2025-01-23,South,Furniture,7782,6129.51,1652.49
2025-01-23,South,Office Supplies,9946,6696.21,3249.79
2025-01-23,East,Electronics,13335,8829.26,4505.74
2025-01-23,East,Furniture,12266,8593.69,3672.31
2025-01-23,East,Office Supplies,16130,9729.33,6400.67
2025-01-23,West,Electronics,8636,6458.82,2177.18
2025-01-23,West,Furniture,15808,9142.81,6665.19
2025-01-23,West,Office Supplies,12860,8662.56,4197.44
2025-01-24,North,Electronics,16174,12922.75,3251.25
2025-01-24,North,Furniture,9729,6424.86,3304.14
2025-01-24,North,Office Supplies,10334,7094.07,3239.93
2025-01-24,South,Electronics,13010,7536.26,5473.74
2025-01-24,South,Furniture,11731,8469.87,3261.13
2025-01-24,South,Office Supplies,5953,4194.21,1758.79
2025-01-24,East,Electronics,16516,12545.89,3970.11
2025-01-24,East,Furniture,10293,7464.92,2828.08
2025-01-24,East,Office Supplies,11313,7343.98,3969.02
2025-01-24,West,Electronics,11938,8673.68,3264.32
2025-01-24,West,Furniture,6540,4436.29,2103.71
2025-01-24,West,Office Supplies,10541,8397.59,2143.41
2025-01-25,North,Electronics,18807,14402.11,4404.89
2025-01-25,North,Furniture,6365,4794.12,1570.88
2025-01-25,North,Office Supplies,13702,10645.4,3056.6
2025-01-25,South,Electronics,6324,4669.29,1654.71
2025-01-25,South,Furniture,8141,5918.88,2222.12
2025-01-25,South,Office Supplies,6810,5068.59,1741.41
2025-01-25,East,Electronics,10301,7481.32,2819.68
2025-01-25,East,Furniture,13905,10798.46,3106.54
2025-01-25,East,Office Supplies,17326,11411.13,5914.87
2025-01-25,West,Electronics,9268,5123.71,4144.29
2025-01-25,West,Furniture,14435,10001.55,4433.45
2025-01-25,West,Office Supplies,18971,10997.57,7973.43
2025-01-26,North,Electronics,18116,13690.22,4425.78
2025-01-26,North,Furniture,15150,11158.14,3991.86
2025-01-26,North,Office Supplies,15188,9255.21,5932.79
2025-01-26,South,Electronics,5504,3543.02,1960.98
2025-01-26,South,Furniture,16632,9492.26,7139.74
2025-01-26,South,Office Supplies,5928,3591.77,2336.23
2025-01-26,East,Electronics,5133,3852.46,1280.54
2025-01-26,East,Furniture,17972,14242.27,3729.73
2025-01-26,East,Office Supplies,6852,4321.36,2530.64
2025-01-26,West,Electronics,9175,6256.66,2918.34
2025-01-26,West,Furniture,17490,13638.33,3851.67
2025-01-26,West,Office Supplies,18987,13071.86,5915.14
2025-01-27,North,Electronics,18843,10719.0,8124.0
2025-01-27,North,Furniture,11190,7915.24,3274.76
2025-01-27,North,Office Supplies,10645,6638.47,4006.53
2025-01-27,South,Electronics,8584,6067.94,2516.06
2025-01-27,South,Furniture,13053,8432.9,4620.1
2025-01-27,South,Office Supplies,13662,7669.32,5992.68
2025-01-27,East,Electronics,18323,14469.23,3853.77
2025-01-27,East,Furniture,16023,12378.82,3644.18
2025-01-27,East,Office Supplies,16211,9348.71,6862.29
2025-01-27,West,Electronics,9468,5863.96,3604.04
2025-01-27,West,Furniture,18659,13279.84,5379.16
2025-01-27,West,Office Supplies,8719,5565.67,3153.33
2025-01-28,North,Electronics,5539,3154.09,2384.91
2025-01-28,North,Furniture,17328,10656.5,6671.5
2025-01-28,North,Office Supplies,11042,8000.38,3041.62
2025-01-28,South,Electronics,12312,7632.71,4679.29
2025-01-28,South,Furniture,11132,8387.39,2744.61
2025-01-28,South,Office Supplies,7779,4805.39,2973.61
2025-01-28,East,Electronics,16148,12558.81,3589.19
2025-01-28,East,Furniture,8324,6535.45,1788.55
2025-01-28,East,Office Supplies,12026,8796.18,3229.82
2025-01-28,West,Electronics,6838,5332.23,1505.77
2025-01-28,West,Furniture,5009,3922.96,1086.04
2025-01-28,West,Office Supplies,12409,8536.11,3872.89
2025-01-29,North,Electronics,10124,5634.93,4489.07
2025-01-29,North,Furniture,15016,11177.92,3838.08
2025-01-29,North,Office Supplies,7193,5731.52,1461.48
2025-01-29,South,Electronics,19512,12569.33,6942.67
2025-01-29,South,Furniture,12449,8032.38,4416.62
2025-01-29,South,Office Supplies,8925,6758.82,2166.18
2025-01-29,East,Electronics,9784,7431.75,2352.25
2025-01-29,East,Furniture,6633,3709.21,2923.79
2025-01-29,East,Office Supplies,13702,8472.66,5229.34
2025-01-29,West,Electronics,13175,7494.46,5680.54
2025-01-29,West,Furniture,17763,13379.54,4383.46
2025-01-29,West,Office Supplies,14860,11875.51,2984.49
2025-01-30,North,Electronics,6460,4498.02,1961.98
2025-01-30,North,Furniture,8636,6789.55,1846.45
2025-01-30,North,Office Supplies,9178,5615.44,3562.56
2025-01-30,South,Electronics,12245,7362.45,4882.55
2025-01-30,South,Furniture,7048,5557.44,1490.56
2025-01-30,South,Office Supplies,5716,3439.93,2276.07
2025-01-30,East,Electronics,9544,6851.88,2692.12
2025-01-30,East,Furniture,15015,8434.29,6580.71
2025-01-30,East,Office Supplies,19430,11238.11,8191.89
2025-01-30,West,Electronics,19489,13146.14,6342.86
2025-01-30,West,Furniture,17725,13171.09,4553.91
2025-01-30,West,Office Supplies,17154,10754.6,6399.4
2025-01-31,North,Electronics,15176,10440.73,4735.27
2025-01-31,North,Furniture,13580,7769.15,5810.85
2025-01-31,North,Office Supplies,9858,6416.28,3441.72
2025-01-31,South,Electronics,9719,6511.84,3207.16
2025-01-31,South,Furniture,16470,12289.37,4180.63
2025-01-31,South,Office Supplies,17173,12467.94,4705.06
2025-01-31,East,Electronics,9530,7393.26,2136.74
2025-01-31,East,Furniture,18051,14352.63,3698.37
2025-01-31,East,Office Supplies,14521,10128.1,4392.9
2025-01-31,West,Electronics,11941,8223.81,3717.19
2025-01-31,West,Furniture,15674,12163.65,3510.35
2025-01-31,West,Office Supplies,6331,4348.52,1982.48
2025-02-01,North,Electronics,12648,9434.31,3213.69
2025-02-01,North,Furniture,10115,6316.71,3798.29
2025-02-01,North,Office Supplies,8177,6260.24,1916.76
2025-02-01,South,Electronics,7180,5378.67,1801.33
2025-02-01,South,Furniture,5137,4015.32,1121.68
2025-02-01,South,Office Supplies,10449,7755.56,2693.44
2025-02-01,East,Electronics,10971,7293.34,3677.66
2025-02-01,East,Furniture,15785,11131.6,4653.4
2025-02-01,East,Office Supplies,10569,6681.59,3887.41
2025-02-01,West,Electronics,8818,6127.74,2690.26
2025-02-01,West,Furniture,17234,9805.56,7428.44
2025-02-01,West,Office Supplies,5760,3830.57,1929.43
2025-02-02,North,Electronics,11238,7305.54,3932.46
2025-02-02,North,Furniture,11031,7834.42,3196.58
2025-02-02,North,Office Supplies,17647,12778.64,4868.36
2025-02-02,South,Electronics,13472,10429.98,3042.02
2025-02-02,South,Furniture,8266,5611.04,2654.96
2025-02-02,South,Office Supplies,5671,3363.36,2307.64
2025-02-02,East,Electronics,11777,7136.42,4640.58
2025-02-02,East,Furniture,12956,7672.98,5283.02
2025-02-02,East,Office Supplies,17891,11394.86,6496.14
2025-02-02,West,Electronics,11677,6681.29,4995.71
2025-02-02,West,Furniture,19980,13290.59,6689.41
2025-02-02,West,Office Supplies,7393,5718.89,1674.11
2025-02-03,North,Electronics,15160,10245.95,4914.05
2025-02-03,North,Furniture,19124,12055.69,7068.31
2025-02-03,North,Office Supplies,11937,8950.99,2986.01
2025-02-03,South,Electronics,10240,7392.73,2847.27
2025-02-03,South,Furniture,18367,14113.1,4253.9
2025-02-03,South,Office Supplies,7878,5075.96,2802.04
2025-02-03,East,Electronics,9432,5840.48,3591.52
2025-02-03,East,Furniture,18568,10604.73,7963.27
2025-02-03,East,Office Supplies,19178,11432.59,7745.41
2025-02-03,West,Electronics,15958,10917.63,5040.37
2025-02-03,West,Furniture,5055,3392.57,1662.43
2025-02-03,West,Office Supplies,17761,13142.94,4618.06
2025-02-04,North,Electronics,7125,4742.64,2382.36
2025-02-04,North,Furniture,5364,3033.8,2330.2
2025-02-04,North,Office Supplies,18623,10862.41,7760.59
2025-02-04,South,Electronics,10122,7832.42,2289.58
2025-02-04,South,Furniture,7797,5749.54,2047.46
2025-02-04,South,Office Supplies,6531,3767.04,2763.96
2025-02-04,East,Electronics,12673,8092.18,4580.82
2025-02-04,East,Furniture,6906,4216.93,2689.07
2025-02-04,East,Office Supplies,13152,9658.19,3493.81
2025-02-04,West,Electronics,15267,8473.46,6793.54
2025-02-04,West,Furniture,6976,5303.0,1673.0
2025-02-04,West,Office Supplies,11229,7095.32,4133.68
2025-02-05,North,Electronics,9632,7441.99,2190.01
2025-02-05,North,Furniture,16475,11013.41,5461.59
2025-02-05,North,Office Supplies,12561,9386.74,3174.26
2025-02-05,South,Electronics,15348,10281.56,5066.44
2025-02-05,South,Furniture,11371,7780.91,3590.09
2025-02-05,South,Office Supplies,19369,13353.68,6015.32
2025-02-05,East,Electronics,17199,11315.48,5883.52
2025-02-05,East,Furniture,11738,7567.41,4170.59
2025-02-05,East,Office Supplies,15852,10157.5,5694.5
2025-02-05,West,Electronics,10401,7300.35,3100.65
2025-02-05,West,Furniture,16706,10675.54,6030.46
2025-02-05,West,Office Supplies,5876,3717.08,2158.92
2025-02-06,North,Electronics,16640,10138.86,6501.14
2025-02-06,North,Furniture,15901,9641.3,6259.7
2025-02-06,North,Office Supplies,6605,4038.89,2566.11
2025-02-06,South,Electronics,15755,12016.41,3738.59
2025-02-06,South,Furniture,8517,5291.39,3225.61
2025-02-06,South,Office Supplies,18918,10668.11,8249.89
2025-02-06,East,Electronics,14352,8181.48,6170.52
2025-02-06,East,Furniture,13434,7449.97,5984.03
2025-02-06,East,Office Supplies,9324,7418.12,1905.88
2025-02-06,West,Electronics,10342,8006.29,2335.71
2025-02-06,West,Furniture,13659,10822.95,2836.05
2025-02-06,West,Office Supplies,13195,7274.73,5920.27
2025-02-07,North,Electronics,5117,3144.27,1972.73
2025-02-07,North,Furniture,7551,5517.7,2033.3
2025-02-07,North,Office Supplies,19909,15575.69,4333.31
2025-02-07,South,Electronics,5846,3997.26,1848.74
2025-02-07,South,Furniture,18746,14240.32,4505.68
2025-02-07,South,Office Supplies,18956,11312.2,7643.8
2025-02-07,East,Electronics,14333,10430.67,3902.33
2025-02-07,East,Furniture,13915,9419.1,4495.9
2025-02-07,East,Office Supplies,9208,6284.09,2923.91
2025-02-07,West,Electronics,7048,4952.31,2095.69
2025-02-07,West,Furniture,17607,10068.08,7538.92
2025-02-07,West,Office Supplies,6917,4071.28,2845.72
2025-02-08,North,Electronics,11988,8189.57,3798.43
2025-02-08,North,Furniture,8744,5616.34,3127.66
2025-02-08,North,Office Supplies,15231,8888.87,6342.13
2025-02-08,South,Electronics,11038,7585.65,3452.35
2025-02-08,South,Furniture,12041,7592.92,4448.08
2025-02-08,South,Office Supplies,16905,9669.1,7235.9
2025-02-08,East,Electronics,6342,4568.62,1773.38
2025-02-08,East,Furniture,7832,4536.09,3295.91
2025-02-08,East,Office Supplies,16150,10786.49,5363.51
2025-02-08,West,Electronics,15230,11400.76,3829.24
2025-02-08,West,Furniture,14310,11195.89,3114.11
2025-02-08,West,Office Supplies,19653,14474.31,5178.69
2025-02-09,North,Electronics,15161,8809.67,6351.33
2025-02-09,North,Furniture,13567,10822.84,2744.16
2025-02-09,North,Office Supplies,7635,4923.1,2711.9
2025-02-09,South,Electronics,7560,5558.72,2001.28
2025-02-09,South,Furniture,16157,9080.62,7076.38
2025-02-09,South,Office Supplies,10468,6123.18,4344.82
2025-02-09,East,Electronics,14064,10373.96,3690.04
2025-02-09,East,Furniture,19139,11309.5,7829.5
2025-02-09,East,Office Supplies,9820,5858.62,3961.38
2025-02-09,West,Electronics,7898,5657.33,2240.67
2025-02-09,West,Furniture,12577,9771.91,2805.09
2025-02-09,West,Office Supplies,5600,4308.08,1291.92
2025-02-10,North,Electronics,7136,5143.24,1992.76
2025-02-10,North,Furniture,15055,9933.04,5121.96
2025-02-10,North,Office Supplies,16789,13010.08,3778.92
2025-02-10,South,Electronics,12804,8006.91,4797.09
2025-02-10,South,Furniture,10142,6690.54,3451.46
2025-02-10,South,Office Supplies,14184,8624.63,5559.37
2025-02-10,East,Electronics,6248,4047.9,2200.1
2025-02-10,East,Furniture,9033,6195.63,2837.37
2025-02-10,East,Office Supplies,8687,5275.24,3411.76
2025-02-10,West,Electronics,16302,9442.52,6859.48
2025-02-10,West,Furniture,10765,6816.44,3948.56
2025-02-10,West,Office Supplies,6202,3930.37,2271.63
2025-02-11,North,Electronics,10567,6252.31,4314.69
2025-02-11,North,Furniture,10742,7573.31,3168.69
2025-02-11,North,Office Supplies,15227,11197.41,4029.59
2025-02-11,South,Electronics,5922,4424.62,1497.38
2025-02-11,South,Furniture,15789,11653.87,4135.13
2025-02-11,South,Office Supplies,16260,9953.11,6306.89
2025-02-11,East,Electronics,5950,3485.4,2464.6
2025-02-11,East,Furniture,7243,5015.58,2227.42
2025-02-11,East,Office Supplies,9612,7393.47,2218.53
2025-02-11,West,Electronics,16104,9271.54,6832.46
2025-02-11,West,Furniture,11028,6370.41,4657.59
2025-02-11,West,Office Supplies,11371,7553.19,3817.81
